scenario,scenario_label,samples,slope,intercept,r2,rmse_log10_um,mae_log10_um,bias_log10_um,pearson_r,spearman_rho
default,Default (No Constraints),200,1.595376207080031,0.8210596649514356,0.5864489740250654,1.7283255849660975,1.147966286913156,-0.3106593875373738,0.7657995651768593,0.7869505740275164
crystal_pocket,Cocrystal Constraints,200,1.4710981857335679,0.6555843493959372,0.5307998558185579,1.7690793853633933,1.2353922916987758,-0.2705974426590241,0.7285601250539023,0.7297296693496326
diffdock_pocket,DiffDock Constraints,200,1.5249469440077812,0.8694579851636204,0.5628923642989965,1.7568801565885506,1.1717301473735433,-0.3819900429066606,0.7502615306004944,0.7592191739927099
