source,scenario,n,mean,median,std,p25,p75,p90,min,max
boltz_cif,crystal_pocket,193,0.6810852079043304,0.4911819540160967,0.6815161349083169,0.1195609497503893,1.0678723071179297,1.6831390408870703,0.0189778847536183,3.804548037504959
boltz_cif,default,193,0.6979576603034987,0.4770902128496369,0.7090186633817848,0.1283056439200842,1.0340911274553333,1.7650987338709796,0.0204250915759677,3.942154897164267
boltz_cif,diffdock_pocket,193,0.7295871747352677,0.5384218208908897,0.7184897922891241,0.1244564081568702,1.093016836825743,1.7992797961965137,0.023194647368978,3.770526785080116
diffdock_complex_pdb,diffdock,193,0.9681596860933408,0.5790133974117598,0.998309547549159,0.1817386260659563,1.522415546861552,2.0978609183211567,0.0390138632198629,4.7496517330357655
