pdb_id,ligand,source,scenario,pose_name,pose_path,status,method,rmsd_angstrom,n_atoms_ref,n_atoms_pose,n_atoms_mapped,mapping_coverage,ref_residue,pose_residue,error
3K7K,KCS,diffdock_sdf,diffdock,rank3_confidence0.39|idx_3,output/diffdock_workflow/poses/3K7K/complex_0/rank3_confidence0.39.sdf,ok,element_sorted_fallback,1.4499617064680634,4.0,4.0,4.0,1.0,KCS|A|301,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3K7K,KCS,diffdock_sdf,diffdock,rank4_confidence0.38|idx_4,output/diffdock_workflow/poses/3K7K/complex_0/rank4_confidence0.38.sdf,ok,element_sorted_fallback,1.3796053653153733,4.0,4.0,4.0,1.0,KCS|A|301,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3K7K,KCS,diffdock_complex_pdb,diffdock,3K7K_diffdock_complex,output/diffdock_workflow/complexes/3K7K_diffdock_complex.pdb,ok,rdkit_best_rms,0.1398879592235161,4.0,4.0,4.0,1.0,KCS|A|301,UNL|L|1,
3K7K,KCS,boltz_cif,default,3K7K_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3K7K_default/3K7K_default_model_0.cif,ok,rdkit_best_rms,0.10899052487025354,4.0,4.0,4.0,1.0,KCS|A|301,LIG1|KCS|1,
3KWA,SPM,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3KWA/complex_0/rank1.sdf,ok,rdkit_best_rms,2.921010834499416,14.0,14.0,14.0,1.0,SPM|A|300,SDF|LIG|1,
3KWA,SPM,diffdock_sdf,diffdock,rank1_confidence0.15|idx_1,output/diffdock_workflow/poses/3KWA/complex_0/rank1_confidence0.15.sdf,ok,rdkit_best_rms,2.921010834499416,14.0,14.0,14.0,1.0,SPM|A|300,SDF|LIG|1,
3KWA,SPM,diffdock_sdf,diffdock,rank2_confidence0.08|idx_2,output/diffdock_workflow/poses/3KWA/complex_0/rank2_confidence0.08.sdf,ok,rdkit_best_rms,2.9126232895217896,14.0,14.0,14.0,1.0,SPM|A|300,SDF|LIG|1,
3KWA,SPM,diffdock_sdf,diffdock,rank3_confidence0.03|idx_3,output/diffdock_workflow/poses/3KWA/complex_0/rank3_confidence0.03.sdf,ok,rdkit_best_rms,2.893931282062794,14.0,14.0,14.0,1.0,SPM|A|300,SDF|LIG|1,
3KWA,SPM,diffdock_sdf,diffdock,rank4_confidence0.02|idx_4,output/diffdock_workflow/poses/3KWA/complex_0/rank4_confidence0.02.sdf,ok,rdkit_best_rms,2.9048026487240257,14.0,14.0,14.0,1.0,SPM|A|300,SDF|LIG|1,
3KWA,SPM,diffdock_complex_pdb,diffdock,3KWA_diffdock_complex,output/diffdock_workflow/complexes/3KWA_diffdock_complex.pdb,ok,rdkit_best_rms,2.9210006067018894,14.0,14.0,14.0,1.0,SPM|A|300,UNL|L|1,
3KWA,SPM,boltz_cif,crystal_pocket,3KWA_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3KWA_crystal_pocket/3KWA_crystal_pocket_model_0.cif,ok,rdkit_best_rms,2.3562515776050765,14.0,14.0,14.0,1.0,SPM|A|300,LIG1|SPM|1,
3KWA,SPM,boltz_cif,default,3KWA_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3KWA_default/3KWA_default_model_0.cif,ok,rdkit_best_rms,2.373207003154236,14.0,14.0,14.0,1.0,SPM|A|300,LIG1|SPM|1,
